Id,Index,OperationID,Value
179,3,45,28
180,4,45,33
181,1,46,25
182,2,46,17
183,3,46,24
184,4,46,27
185,1,47,9
186,2,47,11
187,3,47,1
188,4,47,8
189,1,48,60
190,2,48,56
191,3,48,59
192,4,48,62
193,1,49,17
194,2,49,19
195,3,49,18
196,4,49,9
197,1,50,36
198,2,50,28
199,3,50,38
200,4,50,31
201,1,51,49
202,2,51,53
203,3,51,55
204,4,51,52
205,1,52,1
206,2,52,7
207,3,52,9
208,4,52,12
209,1,53,159
210,2,53,155
211,3,53,152
212,4,53,162
213,1,54,240
214,2,54,249
215,3,54,245
216,4,54,244
217,1,55,21
218,2,55,20
219,3,55,23
220,4,55,12
221,1,56,140
222,2,56,144
223,3,56,148
224,4,56,145
225,1,57,122
226,2,57,117
227,3,57,125
228,4,57,124
229,1,58,674
230,2,58,672
231,3,58,667
232,4,58,673
233,1,59,142
234,2,59,135
235,3,59,139
236,4,59,140
237,1,60,147
238,2,60,150
239,3,60,145
240,4,60,140
241,1,61,1378
242,2,61,1368
243,3,61,1373
244,4,61,1371
245,1,62,300
246,2,62,304
247,3,62,301
248,4,62,297
249,1,63,50
250,2,63,53
251,3,63,47
252,4,63,42
253,1,64,224
254,2,64,223
255,3,64,216
256,4,64,226
257,1,65,89
258,2,65,91
259,3,65,90
260,4,65,84
261,1,66,342
262,2,66,333
263,3,66,336
264,4,66,341
265,1,67,616
266,2,67,617
267,3,67,612
268,4,67,620
269,1,68,714
270,2,68,709
271,3,68,715
272,4,68,705
273,1,69,3819
274,2,69,3828
275,3,69,3822
276,4,69,3829
277,1,70,7650
278,2,70,7661
279,3,70,7657
280,4,70,7654
281,1,71,472
282,2,71,462
283,3,71,466
284,4,71,470
285,1,72,1275
286,2,72,1273
287,3,72,1269
288,4,72,1277
289,1,73,5
290,2,73,7
291,3,73,2
292,4,73,8
293,1,74,6
294,2,74,15
295,3,74,13
296,4,74,11
297,1,75,6
298,2,75,14
299,3,75,13
300,4,75,3
301,1,76,16
302,2,76,9
303,3,76,10
304,4,76,5
305,1,77,3
306,2,77,7
307,3,77,10
308,4,77,14
309,1,78,15
310,2,78,9
311,3,78,16
312,4,78,20
313,1,79,7
314,2,79,16
315,3,79,18
316,4,79,11
317,1,80,11
318,2,80,9
319,3,80,4
320,4,80,13
321,1,81,16
322,2,81,9
323,3,81,15
324,4,81,18
325,1,82,27
326,2,82,22
327,3,82,17
328,4,82,25
329,1,83,5
330,2,83,1
331,3,83,11
332,4,83,4
333,1,84,18
334,2,84,23
335,3,84,22
336,4,84,14
337,1,85,35
338,2,85,36
339,3,85,37
340,4,85,31
341,1,86,10
342,2,86,15
343,3,86,14
344,4,86,20
345,1,87,8
346,2,87,17
347,3,87,11
348,4,87,18
349,1,88,5
350,2,88,2
351,3,88,7
352,4,88,13
353,1,89,36
354,2,89,40
355,3,89,29
356,4,89,32
357,1,90,50
358,2,90,46
359,3,90,42
360,4,90,52
361,1,91,16
362,2,91,11
363,3,91,20
364,4,91,15
365,1,92,51
366,2,92,52
367,3,92,53
368,4,92,48
369,1,93,87
370,2,93,81
371,3,93,90
372,4,93,89
373,1,94,46
374,2,94,54
375,3,94,50
376,4,94,52
377,1,95,62
378,2,95,58
379,3,95,68
380,4,95,63
381,1,96,85
382,2,96,93
383,3,96,89
384,4,96,92
